Japanese,English
頬っぺた,cheek
頻りに,frequently
頻繁,frequent
頼み,Relying on
顎,jaw
顔付き,Face
願書,Application
類,Kind
類似,Similarity
類推,analogy
顧みる,Look back
風俗,Customs
風土,Culture
風習,Custom
風車,Windmill
食い違う,Be crying
飲み込む,swallow
飼育,Breeding
飽和,Saturation
養う,Nurture
養成,training
養護,Nursing
館,Mansion
饂飩,noodles
首脳,Leader
首輪,Collar
首飾り,necklace
香辛料,Spices
馬鹿らしい,Stupid
馬鹿馬鹿しい,Stupid
馴らす,Get used to
馴れ馴れしい,Familiar
駄作,Bad work
駆けっこ,race
駆ける,Run
駆け足,Fleeting
騒動,Riot
騙す,pull the wool over eyes
驚き,surprise
驚異,Sincerity
骨,Bone
骨董品,Antique
高,High
高まる,Increase
高原,Plateau
高尚,High
鬱陶しい,Dull
魂,soul
鮮やか,vivid
鳥居,torii
麻,hemp
麻痺,paralysis
麻酔,anesthesia
黄色,yellow
黄金,Golden
黒字,Surplus
黴菌,Bacterium
鼠,mouse
鼾,snoring
齎らす,Bring
